text,created_at
.@Lawrence @HillaryClinton Two first  @SenSchumer tomorrow. @TheLastWord #brooklyn  TheRealAmerica #Vote #Democrats #NastyWomenVote #Senate,2016-11-08 04:04:37
"My @latimesopinion op-ed on historic #California #Senate race. First time an elected woman senator succeeds another.
https://t.co/cbjQTK0Q1V",2016-11-08 04:08:10
"#Senate Wisconsin Senate Preview: Johnson vs. Feingold, The Sequel https://t.co/XHq4p0V4El @SenRonJohnson",2016-11-08 04:11:35
If Rubio Wins and #Trump Loses in #Florida... #HillaryClinton #Senate #RepublicanPrimary #Senaterace #Miami... https://t.co/zIeNEcVnMO,2016-11-08 04:12:16
"#Senate Wisconsin Senate Preview: Johnson vs. Feingold, The Sequel https://t.co/VSd6arFMe5 SenRonJohnson NTA•NEWS",2016-11-08 04:16:20
"bob day is an ""honest  person ""  #senate patterson . a loss to the senate",2016-11-08 04:18:55
"Make Republicans #PayAPrice!
 💙🇺🇸#VoteBLUE🔃theBallot🇺🇸💙
 #Congress #Senate #FlipItDem 
    #ImWithHer #VoteHillary… https://t.co/pC8I2pemse",2016-11-08 04:20:09
She's done America!! Please vote for @realDonaldTrump #MAGA for all of us!! https://t.co/Z9nXcBaK9D,2016-11-08 04:20:43
#Illinois #Senate #StrongerTogether https://t.co/Nxyi2PptNA,2016-11-08 04:26:36
#Senate Sen. Mark Warner to speak at ODU for Veterans Day Event https://t.co/O1cftpz59e @MarkWarner,2016-11-08 04:41:04
#Senate Sen. Mark Warner to speak at ODU for Veterans Day Event https://t.co/G6twWYUnQf MarkWarner NTA•NEWS,2016-11-08 04:41:06
@TammyforIL Sen Kirk has failed the ppl of IL. Tammy will NOT! #TammyDuckworth #Senate,2016-11-08 04:44:17
"Hat-tip to #PeterRobinson for adding my #Senate take to @Ricochet. Join the site -- best investment you'll make.
https://t.co/8TSSZe5UjX",2016-11-08 04:47:53
"#OHIO! #VoteHillary #OHHillYes #ComeOn
💙🇺🇸#VoteBLUE🔃theBallot🇺🇸💙#Congress #UndecidedVoters #Senate
🙌❤… https://t.co/ndwomSahdO",2016-11-08 04:49:42
"#Senate Russia will face 'IMMEDIATE CONSEQUENCES' if Moscow disrupts US election, senator warns https://t.co/aHmxuVUTiR @MarcoRubio",2016-11-08 05:12:06
Owwww! Bet Putin is shivering in his boots! https://t.co/2xM8RHnWWN,2016-11-08 05:13:10
#Senate US Senator Claire McCaskill: There's 'no excuse to check out of democracy' ahead of Election 2016 https://t.co/LUS90eu9XT @clairecmc,2016-11-08 05:19:06
"#Senate Russia will face 'IMMEDIATE CONSEQUENCES' if Moscow disrupts US election, senator warns https://t.co/hcnnicaaWM MarcoRubio NTA•NEWS",2016-11-08 05:21:08
#Senate US Senator Claire McCaskill: There's 'no excuse to check out of democracy' ahead of Election 2016 https://t.co/fDw1bxcWn8 clairecm…,2016-11-08 05:21:08
Let's make hist. by winning #senate &amp; make @SenatorSchumer 1st #Jewish #MajorityLeader vote @DeborahRossNC  #NorthCarolina #StrongerTogether,2016-11-08 05:22:16
Buhari To Declare NASS Anti-Corruption Seminar Open https://t.co/43SoilJymd #NASS #Nigeria #PresidentBuhari #Senate,2016-11-08 05:24:43
#ASISAbuja2016 ReportersAtLarge: Buhari To Declare NASS Anti-Corruption Seminar Open https://t.co/ol7kEXG1Si; #NAS… https://t.co/jV1PuM5UYp,2016-11-08 05:25:18
Its Election Day 2016 EST. VOTE #ClintonKaine2016 #Senate #Democrats #BlueWave2016 #ForwardTogether #LoveTrumpsHate https://t.co/spimPvLY0g,2016-11-08 05:32:39
11/7/1983-A bomb explodes in the north wing of the #USCapitol. https://t.co/yVGJtRrIHh #Senate #ResistanceConspiracy https://t.co/eFMjGLsPMh,2016-11-08 05:32:54
I voted early in #maryland . I voted for @ChrisVanHollen for the #Senate . Vote on Tuesday. Don't forget the… https://t.co/aDeosi0REt,2016-11-08 05:33:11
#Coalition's #backpackertax plans in disarray as #Senate opposition firms @ABCRural https://t.co/r0yc2uiZEP #auspol,2016-11-08 05:34:33
"Even if #Hillary wins, nothing will change unless the #Democrats take back the #Senate. #VOTE!",2016-11-08 05:41:31
"Oh God, I hope so. We need a #DEM #SENATE!! https://t.co/QNDftsKvlN",2016-11-08 05:41:32
